//WeaponItemInfo																																			거래및판매여부	각종가능여부																																																																																																																																								힘	민	체	지	정				
//	WeaponItemInfo 사용가능대역																																																																																																																																																																										버	26	13	27	4	10	80			
//	1~1000																																																																																																																																																																										드	22	20	20	6	12	80			
//	10001~11000			!! 연결 업데이트 문제로 인해 셀값이 달라지는 문제가 생겨																																																																																																																																																																							발	16	23	15	7	19	80			
//	20001~21000			!! 수치데이터 문서와의 연결 전부 날림																																																																																																																																																																							엘	8	12	13	25	22	80			
//	30001~31000			"이후, 참조값이 있는 수식은 가급적 날려주세요!"																																																													0 모두																																																																																																										섀	19	17	16	18	10	80			
//	50000~50999		//12 : 습득시 즉시사용 사용 실패시 보존																																																														1 남자																																																																																																										미	15	21	15	19	10	80			
//			//13 : 습득시 즉시사용 사용 실패시 삭제																																																																																																																																																																								헬	15	12	27	6	20	80			
//										남	여																																																						2 여자	버서커	드나	섀도	발키리	엘리	미스틱	헬로이드	위치블레이드			 < 기본옵션 >																				< 가맹PC방 전용 옵션 >																					남	여																							디바인 구역															엘리트 구역						유니크 구역									위	18	20	24	8	10	80			
//파라메타 업데이트 버전 정보						814	814				1102			1102		819	814			809	812	812		810					816		816	1103				811	820	1005		904						1102_삭제																		905	1102						1204	1304				811				811				811				812	812	812	812	812	812	812	812	811				811				811				812	812	812	812	812	812	812	812			1102		1102			812	818	818				815				902																																				810											
//설명	아이템코드	판매종류	소멸방식	이름	네임코드	아이템색사용여부	아이템색상코드	네임코드2	설명코드	장착이미지코드	장착이미지코드2	인벤이미지코드	드랍이미지코드	베타키구분코드	종류및계열	이벤트타입	아이템Drop사운드인덱스	효과발동위치	효과코드	본위치	특수액세서리본위치	특수액세서리장착타입	아이템계열	세트옵션적용	세트계열	레벨	내구도	내구감소력	내구도패널티인덱스	아이템가격	아이템가격_최대값	주사위획득방식	팝업창출력여부	"장비,사용여부"	거래및판매여부	각종가능여부	귀속여부	에테리아추출가능여부	장비제한레벨	아이템사용제한레벨	힘제한	민첩제한	체력제한	지력제한	정신력제한	숙련도1	숙련도2	최소데미지	최대데미지	물리공격성공률	물리공격속도	물리방어력	물리공격회피율	기본공격타입	공격속성	공격타입	공격거리	방어타입	마법최소공격력	마법최대공격력	마법공격속도	마법방어력	이동속도	탈것장비클래스	성별타입	장비클래스1	장비클래스2	장비클래스3	장비클래스4	장비클래스5	장비클래스6	장비클래스7	장비클래스8	장비클래스9	장비위치	옵션발동조건1	옵션종류1	수치타입	기본옵션1	옵션발동조건2	옵션종류2	수치타입	기본옵션2	옵션발동조건3	옵션종류3	수치타입	기본옵션3	옵션발동조건4	옵션종류4	수치타입	기본옵션4	옵션발동조건5	옵션종류5	수치타입	기본옵션5	옵션발동조건1	옵션종류1	수치타입	PC방옵션1	옵션발동조건2	옵션종류2	수치타입	PC방옵션2	옵션발동조건3	옵션종류3	수치타입	PC방옵션3	옵션발동조건4	옵션종류4	수치타입	PC방옵션4	옵션발동조건5	옵션종류5	수치타입	PC방옵션5	발사체	머리형태	머리형태2	커스터마이즈	커스터마이즈2	중복개수	장착중복가능개수(Index)	장착중복가능개수(Type)-인벤토리	장착중복그룹	장착개수	포션기능	쿨타임타입	상승수치	경험치물약필드	지속시간	횟수	쿨타임	카오시간감소	퀘스트ID	재료특성	스킬정보	쟈드등급	쟈드옵션종류	쟈드합성추가성공률	교환아이템정보	디바인힘제한	디바인민첩제한	디바인체력제한	디바인지력제한	디바인정신력제한	디바인숙련도1	디바인숙련도2	디바인물리최소데미지	디바인물리최대데미지	디바인마법최소데미지	디바인마법최대데미지	디바인물리방어력	디바인마법방어력	AC코드	AC참조타입	엘리트물리최소데미지	엘리트물리최대데미지	엘리트마법최소데미지	엘리트마법최대데미지	엘리트물리방어력	엘리트마법방어력	유니크물리최소데미지	유니크물리최대데미지	유니크마법최소데미지	유니크마법최대데미지	유니크물리방어력	유니크마법방어력	아이템종류선정	배틀존아이템분배적용											
	Code	ChargeType	ChargeSubType	Name	NameCode	NameColorType	NameColorCode	NameCode2	DNCode3	WearImageCode	WearImageCode2	InvenImageCode	DropImageCode	BetaKeyCode	Type	Etype	ItemSoundIndex	EffectPosition	EffectCode	RotBone	BoneName	SABoneType	SubType	SetOptionType	SetType	Level	Dura	DuraStrenth	StrengthPenaltyIndex	ItemSellMoney	ItemSellMoney_Max	DiceCast	Popup	MaterialType	TradeSellType	Mixture	ReversionType	ExtractType	LimitEqLevel	LimitUseLevel	LimitStr	LimitDex	LimitVit	LimitInt	LimitSpr	LimitSkill1	LimitSkill2	MinDamage	MaxDamage	PhyAttRate	PhyAttSpeed	PhyDef	PhyAvoid	BaseAttType	MagicalAttType	MeleeType	AttRange	ArmorType	MagicAttMinDamgage	MagicAttMaxDamgage	MagicAttSpeed	MagicDef	Speed	EqRidingClass	GenderType	EqClass1	EqClass2	EqClass3	EqClass4	EqClass5	EqClass6	EqClass7	EqClass8	EqClass9	EqPos	ExerciseEffect1	OptionKind1	OptionType1	OptionValue1	ExerciseEffect2	OptionKind2	OptionType2	OptionValue2	ExerciseEffect3	OptionKind3	OptionType3	OptionValue3	ExerciseEffect4	OptionKind4	OptionType4	OptionValue4	ExerciseEffect5	OptionKind5	OptionType5	OptionValue5	PCExerciseEffect1	PCOptionKind1	PCOptionType1	PCOptionValue1	PCExerciseEffect2	PCOptionKind2	PCOptionType2	PCOptionValue2	PCExerciseEffect3	PCOptionKind3	PCOptionType3	PCOptionValue3	PCExerciseEffect4	PCOptionKind4	PCOptionType4	PCOptionValue4	PCExerciseEffect5	PCOptionKind5	PCOptionType5	PCOptionValue5	Missile	HeadType	HeadType2	Customize	Customize2	DupNum	DupEquipNum	DupEquipTypeNum	DupEquipGroup	DupEquipGroupNum	WasteType	CoolTimeType	HealHP	ExpHP	HealTime	Times	CoolTime	ChaoTimeDec	QuestCode	MaterialCode	SkillCode	ZardGrade	ZardOptionKind	ZardSuccesPer	ExchangedItem	DivLimitStr	DivLimitDex	DivLimitVit	DivLimitInt	DivLimitSpr	DivLimitSkill1	DivLimitSkill2	DivPhyMinDamage	DivPhyMaxDamage	DivMagicMinDamage	DivMagicMaxDamage	DivPhyDef	DivMagicDef	ACCode	ACReferenceID	ElitePhyMinDamage	ElitePhyMaxDamage	EliteMagicMinDamage	EliteMagicMaxDamage	ElitePhyDef	EliteMagicDef	UniPhyMinDamage	UniPhyMaxDamage	UniMagicMinDamage	UniMagicMaxDamage	UniPhyDef	UniMagicDef	ItemListType	UseItemDistribution	FieldEnd										
	1	0	0	금속_양손도끼_1등급아이템	30031	0	0	30001	0	1	1	2001	39999	0	1	0	1	0	Null	0	Null	0	0	0	0	1	38	5910	1	25	25	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0 	0 	61 	82 	0.8 	105 	0	0	1	1	3	1.5 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	41	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 	0 	67	94	0 	0 	0 	0 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		//	-26		-27			-53	-10.6	-8	1
	2	0	0	청동_양손도끼_2등급아이템	30032	0	0	30001	0	2	2	2002	39999	0	1	0	1	0	Null	0	Null	0	0	0	0	2	43	5674	1	800	800	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0 	0 	71 	96 	0.8 	105 	0	0	1	1	3	1.5 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	41	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 	0 	78	110	0 	0 	0 	0 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		//	-26		-27			-53	-10.6	-8	8
	3	0	0	합금_양손도끼_3등급아이템	30033	0	0	30001	0	3	3	2003	39999	0	1	0	1	0	Null	0	Null	0	0	0	0	3	48	5556	1	1200	1200	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0 	0 	83 	112 	0.8 	105 	0	0	1	1	3	1.5 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	41	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 	0 	91	129	0 	0 	0 	0 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		//	-26		-27			-53	-10.6	-8	15
	4	0	0	강철_양손도끼_4등급아이템	30034	0	0	30001	0	4	4	2004	39999	0	1	0	1	0	Null	0	Null	0	0	0	0	4	53	5438	1	1900	1900	0	0	1	0	0	0	0	22	0	0	0	0	0	0	0 	0 	97 	132 	0.8 	105 	0	0	1	1	3	1.5 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	41	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 	0 	107	152	0 	0 	0 	0 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		//	-26		-27			-53	-10.6	-8	22
	5	0	0	베론가_양손도끼_5등급아이템	30035	0	0	30001	0	5	5	2005	39999	0	1	0	1	0	Null	0	Null	0	0	0	0	5	58	5320	1	2900	2900	0	0	1	0	0	0	0	29	0	0	0	0	0	0	0 	0 	114 	155 	0.8 	105 	0	0	1	1	3	1.5 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	41	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 	0 	125	178	0 	0 	0 	0 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		//	-26		-27			-53	-10.6	-8	29
	6	0	0	처절한단죄_양손도끼_6등급아이템	30036	0	0	30001	0	6	6	2006	39999	0	1	0	1	0	Null	0	Null	0	0	0	0	6	64	5200	1	4500	4500	0	0	1	0	0	0	0	36	0	0	0	0	0	0	0 	0 	134 	181 	0.8 	105 	0	0	1	1	3	1.5 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	41	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 	0 	147	208	0 	0 	0 	0 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		//	-26		-27			-53	-10.6	-8	36
	7	0	0	암흑의불꽃_양손도끼_7등급아이템	30037	0	0	30001	0	7	7	2007	39999	0	1	0	1	0	Null	0	Null	0	0	0	0	7	69	5082	1	6900	6900	0	0	1	0	0	0	0	43	0	0	0	0	0	0	0 	0 	157 	212 	0.8 	105 	0	0	1	1	3	1.5 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	41	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 	0 	173	244	0 	0 	0 	0 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		//	-26		-27			-53	-10.6	-8	43
	8	0	0	찬란한승리_양손도끼_8등급아이템	30038	0	0	30001	0	8	8	2008	39999	0	1	0	1	0	Null	0	Null	0	0	0	0	8	74	4964	1	10700	10700	0	0	1	0	0	0	0	50	0	0	0	0	0	0	0 	0 	183 	248 	0.8 	105 	0	0	1	1	3	1.5 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	41	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 	0 	201	285	0 	0 	0 	0 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		//	-26		-27			-53	-10.6	-8	50
	9	0	0	어둠을가르는_양손도끼_9등급아이템	30039	0	0	30001	0	9	9	2009	39999	0	1	0	1	0	Null	0	Null	0	0	0	0	9	79	4846	1	16700	16700	0	0	1	0	0	0	0	57	0	0	0	0	0	0	0 	0 	215 	290 	0.8 	105 	0	0	1	1	3	1.5 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	41	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 	0 	237	334	0 	0 	0 	0 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		//	-26		-27			-53	-10.6	-8	57
	10	0	0	아타나시아_양손도끼_10등급아이템	30040	0	0	30001	0	10	10	2010	39999	0	1	0	1	0	Null	0	Null	0	0	0	0	10	85	4728	1	25800	25800	0	0	1	0	0	0	0	64	0	0	0	0	0	0	0 	0 	251 	340 	0.8 	105 	0	0	1	1	3	1.5 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	41	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 	0 	276	391	0 	0 	0 	0 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		//	-26		-27			-53	-10.6	-8	64
