StrCode	Str	FieldEnd
1	Information Officer Elin	
2	Welcome, <heroclass/> <heroname/>.<RETURN=1/>I am '<COLOR=FFE46D0A>Information Officer Elin</COLOR>', and I am in charge of your training.<RETURN=1/>Press the '<COLOR=FF0070C0>View Info</COLOR>' button below and I will explain the basics to you.	
3	Are you all right, <heroname/>?!<RETURN=1/>Let me show you <COLOR=FFE46D0A>how to recover from death</COLOR> right away.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
4	So you have earned <COLOR=FFE46D0A>Online Points</COLOR>?<RETURN=1/>The longer you stay here, the more points you can earn.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
5	Oh dear... you have struck down another player.<RETURN=1/>Since this is your first time it ends at the '<COLOR=FFE46D0A>pre-murderer</COLOR>' state, but please be careful from now on.<RETURN=1/>While you are a pre-murderer, NPCs may refuse to cooperate with you.	
6	How disappointing, <heroname/>...<RETURN=1/>By decision of the high command, we have no choice but to brand you a '<COLOR=FFFF0000>murderer</COLOR>'.<RETURN=1/>While you are a murderer, most NPCs will avoid you.	
8	So <heroname/> has become the master of a <COLOR=FFE46D0A>guild</COLOR>.<RETURN=1/>But founding one is hardly all there is to running a guild, is it?<RETURN=1/>To read about managing and operating a guild, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
9	You have obtained an enhancement item.<RETURN=1/>With this magic stone called a '<COLOR=FFE46D0A>Photon</COLOR>' you can make your equipment even stronger.	
10	You have obtained a <COLOR=FFE46D0A>Divine item</COLOR>.<RETURN=1/>Divine items are powerful equipment with holy power added to ordinary gear.<RETURN=1/>They are <COLOR=FF7030A0>shown with purple names</COLOR>, so you can recognize them easily.	
11	You have obtained a <COLOR=FFE46D0A>Rare item</COLOR>.<RETURN=1/>Rare items carry special options on top of their basic attack and defense, so they perform better than ordinary items.<RETURN=1/>They are <COLOR=FF0070C0>shown with blue names</COLOR>, so you can recognize them easily.	
12	You have got your hands on an <COLOR=FFE46D0A>Elite item</COLOR>!<RETURN=1/>Elite items are the finest equipment known to us so far.<RETURN=1/>They are shown with <COLOR=FFFFC000>yellow names</COLOR> and are divided into types for fighting monsters and types for fighting players.	
13	<heroname/>, you have <COLOR=FFE46D0A>leveled up</COLOR>. Congratulations!<RETURN=1/>Each level up grants you <COLOR=FFE46D0A>5</COLOR> <COLOR=FFE46D0A>stat points</COLOR>.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
14	You have earned <COLOR=FFE46D0A>skill points</COLOR>.<RETURN=1/>Open the <COLOR=FF0070C0>Skill window (K)</COLOR> and strengthen your skills.<RETURN=1/>After raising them you must press the '<COLOR=FF0070C0>Apply button</COLOR>', or the changes will not take effect.	
15	<heroname/>, have you made many friends here?<RETURN=1/>The <COLOR=FF0070C0>Community (F) </COLOR>menu makes it much easier to keep track of them.<RETURN=1/>Press the <COLOR=FF0070C0>F key</COLOR> to open the Community window.	
16	You seem to be growing steadily, <heroname/>.<RETURN=1/>How about forming a <COLOR=FFE46D0A>guild</COLOR> to share the long journey ahead with you?<RETURN=1/>Whenever you feel ready, look for the '<COLOR=FFE46D0A>Guild Manager</COLOR>' in town.	
17	Have you seen people traveling with a <COLOR=FFE46D0A>pet</COLOR>?<RETURN=1/>Adopt your own pet, which grants options just by staying at your side, at the <COLOR=FF0070C0>Item Shop (\)</COLOR> right now.<RETURN=1/>Oh, and never forget to give it <COLOR=FFE46D0A>feed</COLOR>!	
18	Have you tried trading directly with other people?<RETURN=1/>Click another player and then <COLOR=FF0070C0>right-click the target info window</COLOR> to <COLOR=FF0070C0>request a trade</COLOR>.<RETURN=1/>Using the <COLOR=FF0070C0>Private Store</COLOR> on the Action tab of the <COLOR=FF0070C0>Skill window (K)</COLOR> is another good way.	
19	Were the supplies we handed you when you first arrived enough?<RETURN=1/>Useful goods that will help your adventure are stocked at the <COLOR=FF0070C0>Item Shop (\)</COLOR>.<RETURN=1/>Press the <COLOR=FF0070C0>\ key</COLOR> now and visit the <COLOR=FFE46D0A>Item Shop</COLOR>!	
20	<COLOR=FFE46D0A>Brandon the Groom</COLOR> of Waldchen asked us to let him know when we saw you, <heroname/>.<RETURN=1/>He has an urgent favor to ask, and would like you to <COLOR=FFE46D0A>come to Waldchen</COLOR> when you have time.	
21	Curious about what the <COLOR=FFE46D0A>Ranking Manager</COLOR> does?<RETURN=1/>A party of five or more formed through the Battle Zone can compete with other parties for clear times.<RETURN=1/>The Ranking Manager awards prizes to the first, second and third place parties of each mission.	
22	Have you visited the <COLOR=FFE46D0A>Cursed Tower</COLOR> that the priests of trial speak of?<RETURN=1/>Besides missions, the Ranking Manager also keeps the <COLOR=FFE46D0A>point ranking</COLOR> of the Cursed Tower.<RETURN=1/>That one is an individual ranking rather than a party ranking, so make good use of it.	
23	Have you seen the <COLOR=FFE46D0A>Strange Traveler</COLOR> in Etherain?<RETURN=1/>They are looking for seasoned warriors, and by now they most likely have business with <heroname/> as well. <COLOR=FFE46D0A>Go and find the Strange Traveler in Etherain.</COLOR>	
24	Have you seen the <COLOR=FFE46D0A>Temple Passages</COLOR> raised across the continent?<RETURN=1/>Guild members can fight for control of the <COLOR=FFE46D0A>Temple of Blood</COLOR>.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
25	<COLOR=FFE46D0A>Secret Agent O'Sherley</COLOR> in <COLOR=FFE46D0A>Aukra</COLOR> is looking for you.<RETURN=1/>Travel to Aukra and find Secret Agent O'Sherley.	
