StrCode	Str
1	<COLOR=FFE36C0A>[Quest Start- Lucid]<RETURN=1/></COLOR>This is the town of Esod, a military outpost of the Liberation Army. <RETURN=1/><FONT=m212><heroname/>, if you are willing to protect this world from being ravaged by the Empire, why don't you join the Liberation Army? </FONT><NPCNAME=63854/>/*Eimon*/ will tell you how. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>You can view quests by pressing [L]. <RETURN=1/>You can view the Map by pressing [M]. <RETURN=1/>Quests can be completed by finding the NPC identified in the Map as a question mark. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Talk to <NPCNAME=63854/>.
2	<NPCNAME=63854/> will explain more to you.
3	<COLOR=FFE36C0A>[Quest End- Eimon]<RETURN=1/></COLOR>I'm  <NPCNAME=63854/>/*Eimon*/! What is it? Feel free to talk to me if you'd like to enlist in the Liberation Army!
4	<COLOR=FFE36C0A>[Quest Start- Eimon]<RETURN=1/></COLOR>Why, hello! <RETURN=1/><FONT=m212><heroname/>, I've already heard about you.</FONT> So you want to join the Army? Are you sure about that? <RETURN=1/>Our doors are wide open for new recruits! All you have to do is take this application form to <NPCNAME=63858/>/*Coleman*/ over there. Army volunteers are a rare sight these days. Anyways, welcome to the Army. Alright! Give this <ITEMNAME=40306/>/*Liberation Army Application*/ to Coleman! The Army is always on the lookout for people like you! <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>You can view quests by pressing [L]. <RETURN=1/>Clicking a checkbox in the Quest window will reveal the location of Quest NPCs and monsters to kill on the Map. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Take the <ITEMNAME=40306/>/*Liberation Army Application*/ to <NPCNAME=63858/>/*Coleman*/.
5	Take the application form to Coleman!
6	<COLOR=FFE36C0A>[Quest End- Coleman]<RETURN=1/></COLOR>You brought the enlistment application! Please check back with me later. I will prepare a simple test for you.
7	<COLOR=FFE36C0A>[Quest Start- Coleman]<RETURN=1/></COLOR>Don't be alarmed at the word test. You're a member of the Liberation Army now, so I have to assess your ability to fight. Outside the town, you can find some scary monsters. Kill three of them and talk to Udo. Simple, isn't it? <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>You can check the Inventory by pressing [I]. <RETURN=1/>You can check your skills by pressing [K]. You can then place your skills in the Quick Slots at the bottom of the screen. <RETURN=1/>Press [L] and click on the checkbox for the quest. This will show the location of monsters to kill on the Map. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate 3 <NPCNAME=403/>/*Beast Sentries*/.
8	Outside the town, you can find some scary monsters. Kill three of them and talk to Udo. Simple, isn't it? Good luck!
9	<COLOR=FFE36C0A>[Quest End- Udo]<RETURN=1/></COLOR>Wow! You're not half bad!
10	<COLOR=FFE36C0A>[Quest Start- Udo]<RETURN=1/></COLOR>Hm... Now for a more difficult test. <RETURN=1/>Just like the previous test, kill the monsters outside the town. <RETURN=1/>But this time, obtain three <ITEMNAME=6512/>/*Low Quality Leather*/ and talk to <NPCNAME=63854/>/*Eimon*/. How about it? Can you do that? <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>You can view your character information by pressing [C]. <RETURN=1/>You receive stat bonuses by leveling up. Try raising your stats! <RETURN=1/>You can view item information by hovering your mouse over the Low Quality Leather below. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Kill <NPCNAME=403/>/*Beast Sentries*/ and obtain 3 <ITEMNAME=6512/>/*Low Quality leather*/.
11	This time, obtain three Low Quality Leather from monsters. How about it? Can you do that?
12	<COLOR=FFE36C0A>[Quest End- Eimon]<RETURN=1/></COLOR>Haha! Well done! You could make yourself quite useful around here!
