start	
1	Start Game
2	Back to Lobby
3	Exit Game
4	Open
5	Close
18	Change
19	STR(Strong)
20	AGI(Agility)
21	VIT(Vital)
22	INT(Intelligence)
23	SPI(Spiritual)
24	EXT1
25	EXT2
27	Damage
28	Attack
29	Dodge rate
30	Attack
31	Success Rate
32	Basic
33	Defense power
34	Fast
35	Recovery
36	Magic
37	Damage
38	Magic
39	Defense power
40	Critical
41	Chance
42	Additional damage
43	Resistance power
44	Water
45	Wind
46	Earth
47	Fire
48	Select Server
49	Exit Game
50	Select character
51	Key Mapping
52	Kick
53	Battle Zone Name
54	Type
55	Area
56	Limit Settings
57	Number of participants
58	Creator
59	Time
60	Display Settings
61	Refresh
64	Participate in Battle Zone
65	Create Battle Zone
66	General Settings
67	Limit Settings
68	Level limit
69	Min.
70	Max.
71	No. of People
72	Class Restriction
73	Field map
74	Monster type
75	Bonus
76	MISSION
77	CUSTOM
78	Berserker possible
79	Berserker impossible
80	Dragon Knight possible
81	Dragon Knight impossible
82	Valkyrie possible
83	Valkyrie impossible
84	Weak attacking power
85	Weak physical strength
86	Slow speed
87	All appear
88	EXP
89	Item
90	Enter creator's character name.
91	Enter password
92	No Battle Zone created by that character.
93	No such Battle Zone.
94	Unable to enter the Battle Zone you selected.
95	No previous Battle Zones available.
96	Unable to join your previous Battle Zone.
97	Unable to join Battle Zone since the number of players exceeds the restriction.
100	OK
101	Cancel
102	Select
103	Select World
104	Create
105	Cancel
106	Make public? Yes or No
107	Battle Zone Name
108	Password
109	%s
110	Ready
111	Min level is lower than the lowest limit. Please enter again.
112	Max level exceeds the limit. Please enter again.  
113	"Please confirm Battle Zone creation information. (Map, Battle Zone Name, and Restriction)"
114	This Battle Zone name has been taken. Please enter again.
115	Start Game
116	Move to Village
117	Party moves to Forest of Beasts map. Will you accompany them?
118	Party moves to Sewer map. Will you accompany them?
119	Only the party leader can choose whether or not to allow anyone to join the Battle Zone.
120	Unable to join Battle Zone since the number of players exceeds the restriction.
121	Repair All
122	Close
123	Purchase
124	Sell
125	Repair
126	Left-click on the item you'd like to buy from the store.
127	Left-click on the item you'd like to sell from your inventory.
128	Left-click on the item you'd like to repair in your inventory.
129	Repair All Cost
130	You cannot purchase any more items. 
131	Not enough money.
132	Store
133	Withdraw money 
134	Close
135	Withdraw
136	Deposit
137	Storage
138	Left-click on the item in your inventory you'd like to deposit.
139	Left-click on the item in the storage you'd like to withdraw.
140	Unable to withdraw any more.
141	Unable to deposit any more.
142	Insufficient fund
143	Please enter the amount you'd like to deposit. 
144	Please enter the amount you'd like to withdraw. 
145	Damage
147	Start/Stop interaction between characters
148	Start chatting/Sending messages
149	View dropped item(s)
150	Pick up Item
151	Screenshot
152	Open/Close Character window
153	Open/Close Inventory/Equipment window
154	Open/Close Skill window
155	Open/Close Quest window
156	Open/Close Guild window
157	Open/Close Friends List
158	Open/Close Map
159	Show/Hide Party window
160	Show/Hide Chat window
161	Show/Hide Radar
162	Forward (of camera center)
163	Left forward (of camera center)
164	Right forward (of camera center)
165	Step back (from camera center)
166	Sidestep left (from character center)
167	Sidestep right (from character center)
168	Step back (from character center)
169	Next Slot
170	Register
172	Connect
173	Announcement
174	Go to homepage
175	Account
176	Password
177	Quick Slot8
178	Quick Slot9
179	Quick Slot10
180	Quick Slot11
181	Quick Slot12
182	Swap weapon
183	Zoom In
184	Zoom Out
185	Rotate camera to left
186	Rotate camera to right
187	Change Viewpoint 1
188	Delete
189	Create
190	Type %d
191	Type %d
192	%s
193	Name
194	Customize Character
195	Face
196	Height
197	Profile
198	Basic Stats
199	Previous screen
201	All
202	Guild
203	Party
204	Trade
205	System
206	$guild
207	@shout
208	#party
