start	
1	Начать игру
2	Вернуться в лобби
3	Выйти из игры
4	Открыть
5	Закрыть
18	Изменить
19	СИЛ (Сила)
20	ЛОВ (Ловкость)
21	ЖИВ (Живучесть)
22	ИНТ (Интеллект)
23	ДУХ (Дух)
24	EXT1
25	EXT2
27	Урон
28	Атака
29	Шанс уклонения
30	Атака
31	Шанс успеха
32	Базовый
33	Защита
34	Быстро
35	Восстановление
36	Магия
37	Урон
38	Магия
39	Защита
40	Критический удар
41	Шанс
42	Дополнительный урон
43	Сопротивление
44	Вода
45	Ветер
46	Земля
47	Огонь
48	Выбор сервера
49	Выйти из игры
50	Выбор персонажа
51	Настройка клавиш
52	Исключить
53	Название Боевой зоны
54	Тип
55	Область
56	Настройки ограничений
57	Число участников
58	Создатель
59	Время
60	Настройки отображения
61	Обновить
64	Войти в Боевую зону
65	Создать Боевую зону
66	Общие настройки
67	Настройки ограничений
68	Ограничение по уровню
69	Мин.
70	Макс.
71	Число игроков
72	Ограничение по классу
73	Карта поля
74	Тип монстров
75	Бонус
76	МИССИЯ
77	СВОЙ ВАРИАНТ
78	Берсерк допускается
79	Берсерк не допускается
80	Драконий рыцарь допускается
81	Драконий рыцарь не допускается
82	Валькирия допускается
83	Валькирия не допускается
84	Слабая сила атаки
85	Слабое телосложение
86	Низкая скорость
87	Появляются все
88	Опыт
89	Предмет
90	Введите имя персонажа создателя.
91	Введите пароль
92	У этого персонажа нет созданных Боевых зон.
93	Такой Боевой зоны нет.
94	Не удалось войти в выбранную Боевую зону.
95	Прежних Боевых зон нет.
96	Не удалось вернуться в прежнюю Боевую зону.
97	Не удалось войти в Боевую зону: превышено ограничение по числу игроков.
100	ОК
101	Отмена
102	Выбрать
103	Выбор мира
104	Создать
105	Отмена
106	Сделать открытой? Да или нет
107	Название Боевой зоны
108	Пароль
109	%s
110	Готов
111	Минимальный уровень ниже допустимого. Введите заново.
112	Максимальный уровень выше допустимого. Введите заново.
113	"Проверьте данные создаваемой Боевой зоны (карта, название и ограничения)."
114	Это название Боевой зоны уже занято. Введите другое.
115	Начать игру
116	Переместиться в деревню
117	Группа переходит на карту «Лес зверей». Пойдёте с ней?
118	Группа переходит на карту «Стоки». Пойдёте с ней?
119	Только лидер группы решает, открыта ли Боевая зона для всех.
120	Не удалось войти в Боевую зону: превышено ограничение по числу игроков.
121	Починить всё
122	Закрыть
123	Купить
124	Продать
125	Починить
126	Щёлкните левой кнопкой по предмету, который хотите купить в лавке.
127	Щёлкните левой кнопкой по предмету в инвентаре, который хотите продать.
128	Щёлкните левой кнопкой по предмету в инвентаре, который хотите починить.
129	Стоимость полной починки
130	Больше предметов купить нельзя.
131	Недостаточно денег.
132	Лавка
133	Снять деньги
134	Закрыть
135	Снять
136	Положить
137	Хранилище
138	Щёлкните левой кнопкой по предмету в инвентаре, который хотите положить.
