//Version	0.0.0.1				
//Ж®ё®°Е ёЮЅГБц і»їл					
//±ЗѕЖїµ					
		
		
		
//ёЮЅГБц ID	і»їл				
StrCode	Str	FieldEnd			
1	Миссия пройдена.
2	Мост соединён.
3	Рычаг приходит в движение.
4	Вы слышите, как срабатывает рычаг.
5	Теперь можно пройти.
6	Стена опустилась. Теперь можно войти!
7	Печать разрушена. Теперь можно пройти!
8	Первая печать портала разрушена.
9	Вторая печать портала разрушена.
10	Третья печать портала разрушена.
11	Четвёртая печать портала разрушена.
12	Портал открылся. Теперь можно перейти в следующую область.
13	Портал открылся. Теперь можно вернуться в деревню.
//	
14	Выход перекрыт мощным полем маны!
15	Появились хранители магической печати! Они защищают печать!
//	
16	Не тот рычаг! Враги вас обнаружили!
17	Дверь не открывается!
18	Засада!
19	Ловушка сработала! Появились чудовища!
//ѕЯјцµйАЗ ЅЈ 	
30	Эту стену не сдвинуть. Похоже, для этого нужен особый механизм.
31	Портал запечатан. Возможно, дело в каменных статуях перед ним.
32	Дерево запечатано!
33	Похоже, Хранитель дерева связан с печатью на нём. Если одолеть его, тайна откроется.
34	На дверь наложена мощная печать!
35	Похоже, дверь запечатали храмовые стражи! Одолейте их, чтобы открыть дверь.
//БцЗПјц·О 	
36	Камера заперта. Найдите рычаг.
37	Камера открывается с тяжёлым лязгом.
38	Камера закрывается! Похоже, у этого рычага особое назначение!
39	Похоже, камеру открывают два рычага. Найдите второй.
40	Камера заперта.
41	Пройти через эти механизмы будет непросто...
42	Стена защищена. Похоже, за ней что-то скрыто.
43	Стену защищают чудовища! Чтобы увидеть, что за ней, придётся их уничтожить.
44	Устройство приходит в движение с тяжёлым гулом.
45	Вдалеке слышно, как открывается шлюз.
46	Это старый ржавый шлюз. Похоже, на нём установлен какой-то механизм.
47	Течение слишком быстрое, чтобы перебраться...
48	Шлюз повреждён, и сдвинуть его нельзя.
49	Шлюз закрыт. Вода ушла из стоков, и теперь можно пройти.
50	Портал открылся. Вы наконец добрались до Этерейна!
//ЕёАФ1	
//·л	
101	Лес зверей#Вход в лес
102	Лес зверей#Пещера глухого леса
103	Лес зверей#Обрушенные стены замка
104	Лес зверей#Пещера чёрной скалы
105	Лес зверей#Звериная пещера
106	Лес зверей#Место отчаяния
107	Стоки Этерейна#Проход Хаоса
108	Стоки Этерейна#Запертая комната
109	Стоки Этерейна#Сток с ржавым шлюзом
110	Стоки Этерейна#Старый подземный пиршественный зал
111	Стоки Этерейна#Торжественный коридор
112	Стоки Этерейна#Палата короля
113	Замёрзший дворец#Снежные равнины
114	Замёрзший дворец#Машинный зал
115	Замёрзший дворец#Замёрзший сад
116	Замёрзший дворец#Снежный замок
117	Замёрзший дворец#Дворец ледяных кристаллов
118	Замёрзший дворец#Зал северного ветра
119	Долина драконьего рода#Долина красной лавы
120	Долина драконьего рода#Долина стенаний
121	Долина драконьего рода#Кратер крови
122	Долина драконьего рода#Запечатанная пещера
123	Долина драконьего рода#Зал пламени
124	Долина драконьего рода#Вершина священной земли
//ЗКµе	
150	Лес зверей#Озеро Запир
151	Лес зверей#Путь алхимиков
152	Стоки Этерейна#Незавершённый мемориал
153	Стоки Этерейна#Сток-лабиринт
154	Замёрзший дворец#Святилище крепости
155	Замёрзший дворец#Башня руин
//060505ГЯ°Ў	
156	Лес зверей#Пещера Железного племени
157	Лес зверей#Вход в звериную пещеру
158	Стоки Этерейна#Зал испытаний
159	Стоки Этерейна#Подземный сад Этерейна
//И­»кЗКµеГЯ°Ў	
160	Долина драконьего рода#Могила древнего дракона
161	Долина драконьего рода#Кратер Карвана
162	Долина драконьего рода#Насмешка палящего гнева
//№МґП№МјЗёКЕШЅєЖ®	
201	Лес зверей#Пещера племени Железного зверя
202	Лес зверей#Лес магической печати
203	Стоки Этерейна#Могила рыцарей Сигеля
204	Стоки Этерейна#Зал рыцаря
205	Лес зверей#Мост через Чёрную реку
206	Лес зверей#Волчья пещера
207	Лес зверей#База племён Звериного леса
208	Лес зверей#Волчья пещера Звериного леса
209	Лес зверей#Лагерь Омаду
210	Стоки Этерейна#Лабиринт врат
211	Стоки Этерейна#Внутри склепа Штернхугеля
212	Замёрзший дворец#Сторожевой пост
213	Замёрзший дворец#Замёрзший сад
214	Замёрзший дворец#Снаружи стен замка
215	Замёрзший дворец#Внутри замка
221	Замёрзший дворец#Дорога к Замёрзшему дворцу
//070325_АъБЦ№ЮАє Еѕ БцїЄён ГЯ°Ў 225~232	
225	Изумрудное святилище#Испытание земли
226	Изумрудное святилище#Зал Висбадена
227	Сапфировое святилище#Испытание воды
228	Сапфировое святилище#Зал Луирена
229	Рубиновое святилище#Испытание огня
230	Рубиновое святилище#Зал Мары
231	Алмазное святилище#Испытание ветра
232	Алмазное святилище#Зал Деспиниона
//їНАМµе open message	
//ѕЯјцµйАЗ ЅЈ	
310	Им нужны были более просторное место сбора и больше сил, чтобы противостоять огромному войску Империи.#Предводитель Рошеля предложил союз Игнис, которая искала место для стоянки.
311	"Однако, чтобы связаться с ним, ей пришлось пройти через Лес зверей. И сражений со зверями, подвластными Тёмным рыцарям, было не избежать."
//БцЗПјц·О	
312	Мятежная армия вышла победительницей из жестоких боёв в Лесу зверей. #Но теперь перед ней новая преграда на пути в Этерейн — стоки.#Там бродят злые духи и Легион нежити Империи.#Чтобы добраться до Этерейна, нужно пройти эти стоки.
//јіїш	
//Mini Mission Open	
//ѕЯјцµйАЗ ЅЈ	
401	"Клинья, вбитые близ деревни племени Железного зверя,#источали мерзкий чёрный эфир и отравляли природу.#Ведущие поняли, что действуют они так же, как завод Эфира,#и потому отправили своих лучших бойцов выяснить их связь с Империей."
//БцЗПјц·О	
403	Теперь они стали пешками Империи, и единственный способ почтить их —#даровать им вечный покой.
//060502ј­єк№МјЗіЄ·№АМјЗ	
//ѕЯјцЅЈSM3	
406	"Одной тихой ночью от городских врат донёсся грохот взрыва.#Племя Железного зверя и племя Синей Молнии из Леса зверей объединились и напали на деревню.#Дружинники и бойцы Освободительной армии# сумели отбросить их после кровавой битвы, длившейся до рассвета."
407	Капитан деревенской стражи, ведя и свой отряд, и Освободительную армию,#ударит по передовым силам племён Звериного леса основными силами,#а сам с лучшими бойцами пойдёт на рискованный удар с тыла.
//БцЗПјц·ОSM2	
408	В рамках операции по взятию Этерейна внутри города многое было подготовлено заранее.#Командование приказало вам встретиться#с госпожой Шупеннигель, сенатором Этерейна.#Нужно было пройти подземными стоками в полной тайне к условленному месту встречи.
409	Однако стоки кишат солдатами-нежитью.#Пройти их,#не столкнувшись с ними, невозможно.
//јіїшј­єк3	
411	"Но, как и ожидалось,#на дороге к Внутреннему дворцу имперская армия ждёт в великом множестве.#Ведущим, перед которыми встало тягчайшее испытание,#красота окрестных мест казалась почти жестокой."
//061024_јіїшSM1_іЄ·№АМјЗАУЅГ	
//061024_јіїшSM1_іЄ·№АМјЗ	
412	"Тайные документы продажной знати Этерейна#раскрыли, что имперская армия идёт на нас. #Игнис приказала нашим войскам выступить к Снежным равнинам."
413	"Когда Освободительная армия двинулась к Снежным равнинам,#агент донёс, что имперский гонец направляется к Замёрзшему дворцу на Снежных равнинах.#Это грозило большими бедами, и Игнис отправила лучших Ведущих перехватить вражеских гонцов."
//061026_БцЗПјц·ОSM3_іЄ·ЎАМјЗ	
414	"Века назад знать, бежавшая от смуты войны в восточных землях, уходила тайными стоками.#Игнис решила воспользоваться ими для удара по Этерейну.#Однако в этих давно заброшенных стоках их ждут неожиданности."
415	"Игнис сочла, что нужна карта, по которой можно сравнить прежний и нынешний вид стоков и строить план,#после того как следопыты там заблудились или погибли, пытаясь их исследовать.#Игнис приказала храбрым добровольцам исследовать стоки, где таилось множество опасностей,#и составить новую карту."
416	Ведущие, уничтожившие гонцов Империи, по приказу Игнис двинулись к Замёрзшему дворцу.#Но имперская армия знала, что Освободительная армия на подходе, #и готовилась к бою внутри замка.
417	"Бойцы армии демонов — Кровавые морозные демоны и Демоны ледяного клинка —#положили свою гордость на оборону Замёрзшего дворца. #И бреши для прорыва не было, а взять замок казалось невозможным."
418	Но Ведущие не раз обращали невозможное в возможное,#и потому шли вперёд без страха — к новой чудесной победе.
//070126_їлБ·SM1_іЄ·ЎАМјЗ	
431	The Liberation Army, with a critical mission to collect information on the #Imperial ArmyЎЇs recent route heading to the Volcano and the whereabouts of the Dragonkins, is heading for the Valley of the Dragonkin where tremendous danger awaits.
//070126_їлБ·SM2_іЄ·ЎАМјЗ	
435	После первой поисковой операции в Долине драконьего рода#подозрения в отношении валькирий в Освободительной армии усилились.#Клан валькирий пытается найти источник слухов, чтобы доказать свою невиновность.
436	Члену клана Генезии, которую охраняют Ведущие,#поручено выяснить правду об этих пугающих словах и проследить за духами.#И Генезия, чувствуя великую силу духов у подножия холма драконьего рода,#просит исследовать глубины долины.
//070212_їлБ·SM3_іЄ·ЎАМјЗ	
440	Ведущие выяснили, что старик, захваченный Драконами Смерти, — это Адридж Диорасис, старейшина драконьего рода.#Они решили спасти его, чтобы состоялась встреча Освободительной армии и драконьего рода.
441	"Чтобы вновь доказать верность Освободительной армии, отряд валькирий вызывается разведать местность.#Они прослеживают путь Диорасиса до самых глубин Долины драконьего рода."
442	Ведущие хорошо понимали, что времени остаётся мало.#Им нужно было пройти долину, чтобы добыть свободу всему живому на этой земле.
//061026_БцЗПјц·ОSM4_іЄ·ЎАМјЗ	
443	Имперская армия, напуганная чередой побед Освободительной армии,#задумала по предложению Хелрона создать более мощный отряд нежити.
444	Имперская армия заточила клан Карадина, захваченный Драконами Смерти,#в тайной подземной лаборатории Этерейна#и продолжила опыты по созданию непобедимой нежити.
445	Однако, когда работы были почти завершены,#предатель в имперской армии сообщил Освободительной армии сведения о лаборатории.#Тогда командование отправило отборных бойцов Освободительной армии#уничтожить лабораторию и спасти драконий род.
//ј­єк№МјЗ ёЮЅГБц	
//ѕЯјцЅЈSM1	
501	Безумный маг пал и что-то выронил.# Похоже на коготь неведомого существа.
502	Каменная статуя выглядит живой.#Но даже на прикосновение она никак не отзывается.
503	Из мёртвого чудовища торчит острый клык.
504	Портал в лес открылся.
505	Колдун племени Железного зверя выронил бутыль, полную крови.
506	Вы выяснили, что за чудовища в Лесу зверей, и перебили многих из них.#Миссия выполнена.
//ѕЯјцЅЈSM2	
507	Рычаг закреплён намертво.#Сдвинуть его невозможно.
508	За стеной проход закрыт.#Пробиться никак нельзя.
509	Портал внезапно открывается!
510	Страж пал.#Ключ от камеры, вероятно, у него.
511	Замок на камере на редкость прочен, его не сломать.#Придётся найти ключ.
512	В этой двери нет замочной скважины. Нужно искать другой способ.
513	Воздух вокруг дрожит и вдруг устремляется в одну сторону.#Похоже, где-то открылся портал.
514	Вы касаетесь запертой двери, и со всех сторон отзывается тихий напев заклинания — что-то изменилось.#Только вот что, неясно.
//ѕЯјцЅЈSM2:°б°иАЗЅЈ	
515	[Спасибо! Я сниму барьер, а вы ступайте и разрушьте столп чёрного эфира, отсеките его корни.]
516	Энергия чёрного эфира слабеет.
517	[Спасибо за помощь! Я сниму барьер, а вы уничтожьте корень чёрного эфира Железного племени.]
518	[Наконец-то свободен... Кажется, сил у меня ещё хватит, чтобы разрушить барьер, созданный столпом чёрного эфира.]
519	[Как благородно! С радостью одолжу вам свою силу.]
520	Сила чёрного эфира, окутавшая лес, ослабла.
521	Облик последнего элементалиста начинает искажаться.
522	[Неплохо для человека. Но дальше ты не пройдёшь. Твоя жизнь кончается здесь!]
523	Вы сорвали замысел племени Железного зверя добывать чёрный эфир с помощью элементалиста. #Миссия выполнена!
524	По лесу разносится сигнал тревоги!
525	Столп защищён. Найдите источник этого эфира и уничтожьте его, чтобы избавиться от чёрного эфира.
